address,area,rooms,bathrooms,garages,amenities,price,condo,neighborhood
"Rua Coronel Pedro Demoro, 1507 - Balneario do Estreito, Florianópolis - SC",75,2,2,1.0,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",2800.0,0, Balneario do Estreito
"Rua Maestro Aldo Krieger, 54 - Córrego Grande, Florianópolis - SC",65,2,2,1.0,"Elevador
Salão de festas
Ar-condicionado
Cozinha americana
Portão eletrônico",1700.0,740, Córrego Grande
"Rua Maria Eduarda, 33 - Pantanal, Florianópolis - SC",35,1,1,0.0,"Mobiliado
Elevador
Ar-condicionado
Condomínio fechado
Spa",1400.0,300, Pantanal
"Servidão Manoel Isidoro Augusto, 560 - Rio Tavares, Florianópolis - SC",70,1,1,1.0,"Jardim
Sistema de alarme
Cozinha americana",1900.0,0, Rio Tavares
"Avenida dos Búzios, 3147 - Jurerê Internacional, Florianópolis - SC",250,4,3,2.0,"Mobiliado
Elevador
Churrasqueira
Salão de festas
Ar-condicionado",5200.0,1200, Jurerê Internacional
"Servidão do Palmeiras, 165 - Itacorubi, Florianópolis - SC",20,1,1,0.0,"Mobiliado
Ar-condicionado
Condomínio fechado
Portão eletrônico",1200.0,0, Itacorubi
"Rua Jorge Cherem, 184 - Jurerê, Florianópolis - SC",45,1,1,0.0,"Mobiliado
Piscina
Jardim
Ar-condicionado
TV a cabo",1400.0,0, Jurerê
"Avenida César Seara - Carvoeira, Florianópolis - SC",53,2,2,1.0,"Mobiliado
Elevador
Salão de festas
Academia
Ar-condicionado",3000.0,1, Carvoeira
"Rua Clorinda Ventimiglia, 550 - Cachoeira do Bom Jesus, Florianópolis - SC",58,1,1,1.0,"Elevador
Condomínio fechado",1600.0,300, Cachoeira do Bom Jesus
"Rua Libia Cruz - Estreito, Florianópolis - SC",120,3,2,2.0,Piscina,3500.0,350, Estreito
"Avenida Prefeito Osmar Cunha - Centro, Florianópolis - SC",118,3,2,1.0,"Elevador
Varanda",1400.0,1100, Centro
"Rodovia Admar Gonzaga - Itacorubi, Florianópolis - SC",63,3,1,0.0,nan,1500.0,480, Itacorubi
"Beira Mar, Florianópolis - SC",316,4,5,3.0,"Mobiliado
Elevador
Piscina
Área de serviço
Churrasqueira",22000.0,4016, SC
"Rua Europa - Trindade, Florianópolis - SC",55,2,1,0.0,nan,1450.0,444, Trindade
"Estrada Vereador Onildo Lemos, 2345 - Santinho, Florianópolis - SC",105,2,2,2.0,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",4000.0,960, Santinho
"Servidão Laje de Pedra - Itacorubi, Florianópolis - SC",55,1,1,1.0,"Elevador
Piscina
Churrasqueira
Salão de festas
Academia",1300.0,675, Itacorubi
"Rua Libia Cruz, 546 - Estreito, Florianópolis - SC",107,3,2,2.0,"Elevador
Piscina
Área de serviço
Churrasqueira
Salão de festas",3500.0,250, Estreito
"Rua Luiz Oscar de Carvalho, 74 - Trindade, Florianópolis - SC",73,3,1,1.0,"Salão de festas
Playground
Jardim
Quadra poliesportiva
Condomínio fechado",1500.0,454, Trindade
"Itacorubi, Florianópolis - SC",99,3,2,1.0,"Salão de festas
Playground
Varanda
Jardim
Circuito de segurança",1900.0,500, SC
"Rua João Pinto, 52 - Centro, Florianópolis - SC",60,2,1,0.0,"Mobiliado
Elevador
Condomínio fechado
Aceita animais
Acesso para deficientes",1190.0,370, Centro
"Rua Pastor William Richard Schisler Filho - Itacorubi, Florianópolis - SC",69,2,2,1.0,"Elevador
Churrasqueira
Salão de festas
Playground
Salão de jogos",2180.0,622, Itacorubi
"Rua Duarte Schutel - Centro, Florianópolis - SC",78,2,2,2.0,"Elevador
Piscina
Churrasqueira
Salão de festas
Academia",2800.0,960, Centro
"Rua Leonel Pereira, 165 - Cachoeira do Bom Jesus, Florianópolis - SC",70,2,2,1.0,nan,1950.0,500, Cachoeira do Bom Jesus
"Avenida Governador Irineu Bornhausen - Beira Mar, Florianópolis - SC",168,3,2,2.0,"Elevador
Salão de festas
Playground
Ar-condicionado
Salão de jogos",3000.0,1468, Beira Mar
"Abraão, Florianópolis - SC",63,2,1,1.0,nan,1150.0,371, SC
"Avenida César Seara - Carvoeira, Florianópolis - SC",89,3,3,1.0,"Mobiliado
Elevador
Salão de festas
Academia
Ar-condicionado",3500.0,1, Carvoeira
"Avenida Luiz Boiteux Piazza, 2888 - Cachoeira do Bom Jesus, Florianópolis - SC",25,1,1,1.0,nan,1300.0,90, Cachoeira do Bom Jesus
"Estrada Vereador Onildo Lemos, 2345 - Santinho, Florianópolis - SC",168,3,4,2.0,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",8000.0,0, Santinho
"Rua Douglas Seabra Levier, 163 - Trindade, Florianópolis - SC",48,1,1,0.0,"Mobiliado
Elevador
Piscina
Churrasqueira
Salão de festas",1850.0,0, Trindade
"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",48,2,1,1.0,nan,1400.0,285, Itacorubi
"Rua Frei Caneca, 320 - Agronômica, Florianópolis - SC",173,4,3,2.0,"Elevador
Piscina
Área de serviço
Salão de festas
Varanda",4500.0,1655, Agronômica
"Avenida César Seara - Carvoeira, Florianópolis - SC",89,3,3,1.0,"Mobiliado
Elevador
Salão de festas
Academia
Ar-condicionado",3500.0,1, Carvoeira
"Rua Padre Roma, 59 - Centro, Florianópolis - SC",48,1,1,0.0,Armário embutido,1400.0,344, Centro
"Rua Delminda Silveira - Agronômica, Florianópolis - SC",56,2,1,1.0,"Mobiliado
Piscina
Área de serviço
Churrasqueira
Playground",1500.0,625, Agronômica
"Joao Paulo, Florianópolis - SC",75,2,2,1.0,"Elevador
Piscina
Área de serviço
Churrasqueira
Salão de festas",2400.0,512, SC
"Joao Paulo, Florianópolis - SC",182,3,1,0.0,"Mobiliado
Piscina
Área de serviço
Churrasqueira
Salão de festas",7500.0,850, SC
"Avenida Rio Branco, 349114 - Centro, Florianópolis - SC",140,2,3,1.0,"Mobiliado
Elevador",2800.0,880, Centro
"Rua Brisamar, 328 - Ingleses do Rio Vermelho, Florianópolis - SC",82,2,3,1.0,"Elevador
Interfone",2400.0,320, Ingleses do Rio Vermelho
"Rua dos Ilhéus - Centro, Florianópolis - SC",50,1,1,0.0,Elevador,700.0,701, Centro
"Rua Frei Caneca, 14 - Centro, Florianópolis - SC",65,2,2,1.0,"Área de serviço
Salão de festas
Interfone
Armário embutido",2750.0,844, Centro
"Estrada Vereador Onildo Lemos, 2345 - Santinho, Florianópolis - SC",105,2,2,1.0,"Elevador
Piscina
Churrasqueira
Salão de festas
Playground",4500.0,960, Santinho
"Servidão Feliciano Martins Vieira - Itacorubi, Florianópolis - SC",72,2,2,1.0,Elevador,1400.0,540, Itacorubi
"Rua Antenor Borges - Canasvieiras, Florianópolis - SC",47,1,1,1.0,"Mobiliado
Elevador
Área de serviço
Churrasqueira
Sala de jantar",2000.0,440, Canasvieiras
"Rua Desembargador Pedro Silva, 2202 - Coqueiros, Florianópolis - SC",51,2,1,0.0,"Churrasqueira
Salão de festas
Playground
Jardim
Quadra poliesportiva",1100.0,427, Coqueiros
"Avenida Madre Benvenuta - Trindade, Florianópolis - SC",68,2,2,2.0,"Elevador
Piscina",2450.0,782, Trindade
"Avenida Luiz Boiteux Piazza, 6640 - Ponta das Canas, Florianópolis - SC",70,2,2,1.0,nan,1880.0,0, Ponta das Canas
"Rua Ambrósio Marques da Rosa, 164 - Praia dos Ingleses, Florianópolis - SC",62,2,2,1.0,"Churrasqueira
Condomínio fechado
Aceita animais",1259.0,100, Praia dos Ingleses
"Carvoeira, Florianópolis - SC",25,1,1,0.0,"Jardim
Interfone
Armário embutido",1100.0,70, SC
"Rua Acelon Pacheco da Costa - Itacorubi, Florianópolis - SC",63,2,1,1.0,"Elevador
Playground
Vista exterior
Interfone",1800.0,520, Itacorubi
"Rua Tiradentes - Centro, Florianópolis - SC",72,2,3,1.0,Elevador,1600.0,618, Centro
"Rua das Moreias, 553 - Jurerê, Florianópolis - SC",130,2,1,2.0,nan,4500.0,550, Jurerê
"Rua Desembargador Pedro Silva, 2800 - Coqueiros, Florianópolis - SC",110,3,2,2.0,"Elevador
Piscina
Churrasqueira
Salão de festas
Academia",2750.0,990, Coqueiros
"Rodovia Admar Gonzaga - Itacorubi, Florianópolis - SC",70,2,2,1.0,"Elevador
Salão de festas
Playground
Ar-condicionado
Armário na cozinha",1980.0,580, Itacorubi
"Rua das Buganvilias, 191 - Cachoeira do Bom Jesus, Florianópolis - SC",70,2,2,1.0,"Área de serviço
Sala de jantar",1550.0,580, Cachoeira do Bom Jesus
"Rua Professor Luiz Sanches Bezerra da Trindade - Centro, Florianópolis - SC",271,3,5,4.0,"Mobiliado
Elevador
Área de serviço
Churrasqueira
Salão de festas",10300.0,1150, Centro
"Rodovia Amaro Antônio Vieira, 2170 - Itacorubi, Florianópolis - SC",70,2,2,1.0,"Mobiliado
Elevador
Churrasqueira
Salão de festas
Ar-condicionado",2300.0,370, Itacorubi
"Ribeirão da Ilha, Florianópolis - SC",72,2,2,1.0,"Elevador
Piscina
Área de serviço
Churrasqueira
Varanda",2700.0,300, SC
"Servidão Damázio Pedro Celestino - Campeche, Florianópolis - SC",72,2,2,1.0,"Área de serviço
Churrasqueira
Ar-condicionado
TV a cabo
Mais de um andar",3180.0,200, Campeche
"Rua das Gaivotas, 701 - Ingleses do Rio Vermelho, Florianópolis - SC",73,2,2,1.0,"Mobiliado
Elevador
Área de serviço
Churrasqueira
Salão de festas",2500.0,241, Ingleses do Rio Vermelho
"Agronômica, Florianópolis - SC",63,2,3,1.0,nan,2000.0,782, SC
"Rua Felipe Schmidt, 652 - Centro, Florianópolis - SC",68,2,1,0.0,"Mobiliado
Elevador
Ar-condicionado
Recepção
Interfone",1420.0,497, Centro
"Rua Delminda Silveira - Agronômica, Florianópolis - SC",48,1,1,1.0,"Mobiliado
Salão de festas
Jardim
Ar-condicionado
Armário embutido",1900.0,151, Agronômica
"Jardim Atlântico, Florianópolis - SC",83,2,1,1.0,"Mobiliado
Elevador
Área de serviço
Churrasqueira
Salão de festas",1100.0,295, SC
