address,area,rooms,bathrooms,garages,amenities,price,condo,neighborhood,zona
"Rua Maestro Aldo Krieger, 54 - Córrego Grande, Florianópolis - SC",65,2,2,1.0,"Elevador
Salão de festas
Ar-condicionado
Cozinha americana
Portão eletrônico",1700.0,740, Córrego Grande,Central
"Rua Maria Eduarda, 33 - Pantanal, Florianópolis - SC",35,1,1,0.0,"Mobiliado
Elevador
Ar-condicionado
Condomínio fechado
Spa",1400.0,300, Pantanal,Central
"Servidão do Palmeiras, 165 - Itacorubi, Florianópolis - SC",20,1,1,0.0,"Mobiliado
Ar-condicionado
Condomínio fechado
Portão eletrônico",1200.0,0, Itacorubi,Central
"Avenida César Seara - Carvoeira, Florianópolis - SC",53,2,2,1.0,"Mobiliado
Elevador
Salão de festas
Academia
Ar-condicionado",3000.0,1, Carvoeira,Central
"Avenida Prefeito Osmar Cunha - Centro, Florianópolis - SC",118,3,2,1.0,"Elevador
Varanda",1400.0,1100, Centro,Central
"Rodovia Admar Gonzaga - Itacorubi, Florianópolis - SC",63,3,1,0.0,,1500.0,480, Itacorubi,Central
"Rua Europa - Trindade, Florianópolis - SC",55,2,1,0.0,,1450.0,444, Trindade,Central
"Servidão Laje de Pedra - Itacorubi, Florianópolis - SC",55,1,1,1.0,"Elevador
Piscina
Churrasqueira
Salão de festas
Academia",1300.0,675, Itacorubi,Central
"Rua Luiz Oscar de Carvalho, 74 - Trindade, Florianópolis - SC",73,3,1,1.0,"Salão de festas
Playground
Jardim
Quadra poliesportiva
Condomínio fechado",1500.0,454, Trindade,Central
"Itacorubi, Florianópolis - SC",99,3,2,1.0,"Salão de festas
Playground
Varanda
Jardim
Circuito de segurança",1900.0,500, SC,Central
"Rua João Pinto, 52 - Centro, Florianópolis - SC",60,2,1,0.0,"Mobiliado
Elevador
Condomínio fechado
Aceita animais
Acesso para deficientes",1190.0,370, Centro,Central
"Rua Pastor William Richard Schisler Filho - Itacorubi, Florianópolis - SC",69,2,2,1.0,"Elevador
Churrasqueira
Salão de festas
Playground
Salão de jogos",2180.0,622, Itacorubi,Central
"Rua Duarte Schutel - Centro, Florianópolis - SC",78,2,2,2.0,"Elevador
Piscina
Churrasqueira
Salão de festas
Academia",2800.0,960, Centro,Central
"Avenida Governador Irineu Bornhausen - Beira Mar, Florianópolis - SC",168,3,2,2.0,"Elevador
Salão de festas
Playground
Ar-condicionado
Salão de jogos",3000.0,1468, Beira Mar,Central
"Avenida César Seara - Carvoeira, Florianópolis - SC",89,3,3,1.0,"Mobiliado
Elevador
Salão de festas
Academia
Ar-condicionado",3500.0,1, Carvoeira,Central
"Rua Douglas Seabra Levier, 163 - Trindade, Florianópolis - SC",48,1,1,0.0,"Mobiliado
Elevador
Piscina
Churrasqueira
Salão de festas",1850.0,0, Trindade,Central
"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",48,2,1,1.0,,1400.0,285, Itacorubi,Central
"Rua Frei Caneca, 320 - Agronômica, Florianópolis - SC",173,4,3,2.0,"Elevador
Piscina
Área de serviço
Salão de festas
Varanda",4500.0,1655, Agronômica,Central
"Avenida César Seara - Carvoeira, Florianópolis - SC",89,3,3,1.0,"Mobiliado
Elevador
Salão de festas
Academia
Ar-condicionado",3500.0,1, Carvoeira,Central
"Rua Padre Roma, 59 - Centro, Florianópolis - SC",48,1,1,0.0,Armário embutido,1400.0,344, Centro,Central
"Rua Delminda Silveira - Agronômica, Florianópolis - SC",56,2,1,1.0,"Mobiliado
Piscina
Área de serviço
Churrasqueira
Playground",1500.0,625, Agronômica,Central
"Joao Paulo, Florianópolis - SC",75,2,2,1.0,"Elevador
Piscina
Área de serviço
Churrasqueira
Salão de festas",2400.0,512, SC,Central
"Joao Paulo, Florianópolis - SC",182,3,1,0.0,"Mobiliado
Piscina
Área de serviço
Churrasqueira
Salão de festas",7500.0,850, SC,Central
"Avenida Rio Branco, 349114 - Centro, Florianópolis - SC",140,2,3,1.0,"Mobiliado
Elevador",2800.0,880, Centro,Central
"Rua dos Ilhéus - Centro, Florianópolis - SC",50,1,1,0.0,Elevador,700.0,701, Centro,Central
"Rua Frei Caneca, 14 - Centro, Florianópolis - SC",65,2,2,1.0,"Área de serviço
Salão de festas
Interfone
Armário embutido",2750.0,844, Centro,Central
"Servidão Feliciano Martins Vieira - Itacorubi, Florianópolis - SC",72,2,2,1.0,Elevador,1400.0,540, Itacorubi,Central
"Avenida Madre Benvenuta - Trindade, Florianópolis - SC",68,2,2,2.0,"Elevador
Piscina",2450.0,782, Trindade,Central
"Carvoeira, Florianópolis - SC",25,1,1,0.0,"Jardim
Interfone
Armário embutido",1100.0,70, SC,Central
"Rua Acelon Pacheco da Costa - Itacorubi, Florianópolis - SC",63,2,1,1.0,"Elevador
Playground
Vista exterior
Interfone",1800.0,520, Itacorubi,Central
"Rua Tiradentes - Centro, Florianópolis - SC",72,2,3,1.0,Elevador,1600.0,618, Centro,Central
"Rodovia Admar Gonzaga - Itacorubi, Florianópolis - SC",70,2,2,1.0,"Elevador
Salão de festas
Playground
Ar-condicionado
Armário na cozinha",1980.0,580, Itacorubi,Central
"Rua Professor Luiz Sanches Bezerra da Trindade - Centro, Florianópolis - SC",271,3,5,4.0,"Mobiliado
Elevador
Área de serviço
Churrasqueira
Salão de festas",10300.0,1150, Centro,Central
"Rodovia Amaro Antônio Vieira, 2170 - Itacorubi, Florianópolis - SC",70,2,2,1.0,"Mobiliado
Elevador
Churrasqueira
Salão de festas
Ar-condicionado",2300.0,370, Itacorubi,Central
"Agronômica, Florianópolis - SC",63,2,3,1.0,,2000.0,782, SC,Central
"Rua Felipe Schmidt, 652 - Centro, Florianópolis - SC",68,2,1,0.0,"Mobiliado
Elevador
Ar-condicionado
Recepção
Interfone",1420.0,497, Centro,Central
"Rua Delminda Silveira - Agronômica, Florianópolis - SC",48,1,1,1.0,"Mobiliado
Salão de festas
Jardim
Ar-condicionado
Armário embutido",1900.0,151, Agronômica,Central
"Rodovia João Paulo, 614 - Joao Paulo, Florianópolis - SC",75,2,1,2.0,"Elevador
Área de serviço
Salão de festas
Jardim
Ar-condicionado",2200.0,528, Joao Paulo,Central
"Avenida do Antão - Agronômica, Florianópolis - SC",45,2,1,0.0,,1200.0,200, Agronômica,Central
"Rua Desembargador Urbano Salles - Centro, Florianópolis - SC",196,3,5,2.0,"Elevador
Piscina",2900.0,1372, Centro,Central
"Praça Quinze de Novembro, 691 - Centro, Florianópolis - SC",75,2,2,1.0,"Elevador
Condomínio fechado
Aceita animais",2250.0,500, Centro,Central
"Trindade, Florianópolis - SC",89,3,2,2.0,"Mobiliado
Piscina
Área de serviço
Churrasqueira
Salão de festas",3700.0,723, SC,Central
"Avenida Hercílio Luz - Centro, Florianópolis - SC",43,1,1,1.0,"Elevador
Armário na cozinha",1450.0,429, Centro,Central
"Rua Esteves Júnior - Centro, Florianópolis - SC",87,2,2,1.0,Elevador,1900.0,690, Centro,Central
"Carvoeira, Florianópolis - SC",69,2,2,1.0,"Mobiliado
Área de serviço
Churrasqueira
Salão de festas
Playground",2500.0,343, SC,Central
"Rua General Bittencourt, 546 - Centro, Florianópolis - SC",86,3,2,1.0,,1550.0,763, Centro,Central
"Rua Esteves Júnior - Centro, Florianópolis - SC",72,2,2,1.0,"Elevador
Ar-condicionado
Armário na cozinha",1790.0,713, Centro,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",49,2,1,1.0,,1350.0,356, Trindade,Central
"Rua Deputado Antônio Edu Vieira, 1422 - Pantanal, Florianópolis - SC",62,2,2,2.0,"Mobiliado
Piscina
Área de serviço
Varanda
Ar-condicionado",2400.0,500, Pantanal,Central
"Rua Presidente Nereu Ramos, 160 - Centro, Florianópolis - SC",76,2,3,1.0,"Mobiliado
Piscina
Churrasqueira
Playground
Academia",7000.0,0, Centro,Central
"Rua Desembargador Arno Hoeschl, 290 - Centro, Florianópolis - SC",70,2,3,2.0,"Elevador
Piscina
Academia
Ar-condicionado
Condomínio fechado",7000.0,0, Centro,Central
"Centro, Florianópolis - SC",66,2,1,1.0,,2000.0,441, SC,Central
"Centro, Florianópolis - SC",121,3,4,1.0,,2200.0,1116, SC,Central
"Rua José Jacques, 32 - Centro, Florianópolis - SC",38,1,1,0.0,"Mobiliado
Elevador
Interfone",1200.0,350, Centro,Central
"Agronômica, Florianópolis - SC",65,2,2,1.0,Elevador,2100.0,650, SC,Central
"Centro, Florianópolis - SC",92,2,3,1.0,"Piscina
Salão de festas
Playground
Varanda
Academia",4900.0,648, SC,Central
"Rua Felipe Schmidt - Centro, Florianópolis - SC",48,1,1,1.0,"Condomínio fechado
Cozinha
Garagem",900.0,410, Centro,Central
"Rua Patrício Farias - Itacorubi, Florianópolis - SC",65,2,2,1.0,"Área de serviço
Salão de festas
Academia
Interfone
Armário embutido",2500.0,700, Itacorubi,Central
"Rua Elza Maria Ferreira - Trindade, Florianópolis - SC",68,1,1,1.0,,1300.0,280, Trindade,Central
"Rua Acelon Pacheco da Costa - Itacorubi, Florianópolis - SC",65,2,1,1.0,Elevador,1450.0,520, Itacorubi,Central
"Rodovia Admar Gonzaga, 1623 - Itacorubi, Florianópolis - SC",58,3,1,1.0,"Área de serviço
Salão de festas
Playground
Jardim
Sistema de alarme",1480.0,38, Itacorubi,Central
"Rua Douglas Seabra Levier - Trindade, Florianópolis - SC",73,2,2,1.0,,1750.0,287, Trindade,Central
"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",93,3,2,2.0,"Mobiliado
Salão de festas
Playground
Ar-condicionado
Quadra poliesportiva",2900.0,640, Itacorubi,Central
"Rua Corália Ferreira da Luz, 75 - Centro, Florianópolis - SC",27,1,1,0.0,"Mobiliado
Elevador
Ar-condicionado
Circuito de segurança
Lavanderia",1400.0,0, Centro,Central
"Rua João Motta Espezim, 703 - Saco dos Limões, Florianópolis - SC",38,2,1,0.0,Condomínio fechado,1200.0,212, Saco dos Limões,Central
"Rua Felipe Schmidt - Centro, Florianópolis - SC",95,3,2,1.0,"Elevador
Área de serviço
Ar-condicionado
Lavanderia",3000.0,651, Centro,Central
"Rua Apeninos - Córrego Grande, Florianópolis - SC",70,2,1,1.0,,1400.0,750, Córrego Grande,Central
"Rua Acelon Pacheco da Costa - Itacorubi, Florianópolis - SC",52,2,1,1.0,,1250.0,480, Itacorubi,Central
"Rua Delminda Silveira - Agronômica, Florianópolis - SC",77,3,2,1.0,,1600.0,329, Agronômica,Central
"Rua São Francisco - Centro, Florianópolis - SC",70,2,1,1.0,Elevador,1850.0,427, Centro,Central
"Rua Visconde de Ouro Preto - Centro, Florianópolis - SC",120,2,2,1.0,,1500.0,900, Centro,Central
"Rua Henrique Bruggemann, 97 - Centro, Florianópolis - SC",91,3,2,2.0,"Elevador
Área de serviço
Churrasqueira
Varanda
Ar-condicionado",3790.0,740, Centro,Central
"Rua Santo Inácio de Loyola - Centro, Florianópolis - SC",180,4,1,3.0,Cozinha,8500.0,1500, Centro,Central
"Avenida Madre Benvenuta, 411 - Trindade, Florianópolis - SC",77,3,1,1.0,"Área de serviço
Cozinha",1300.0,580, Trindade,Central
"Avenida Prefeito Osmar Cunha - Centro, Florianópolis - SC",91,2,2,0.0,Área de serviço,1350.0,650, Centro,Central
"Agronômica, Florianópolis - SC",77,3,2,1.0,"Piscina
Área de serviço
Salão de festas
Varanda
Academia",2500.0,552, SC,Central
"Servidão do Palmeiras - Itacorubi, Florianópolis - SC",105,3,2,1.0,"Elevador
Churrasqueira
Salão de festas
Playground
Jardim",2300.0,697, Itacorubi,Central
"Avenida Professor Othon Gama D'Eça - Centro, Florianópolis - SC",60,1,1,1.0,Mobiliado,1450.0,450, Centro,Central
"Rua Olympio da Silva - Pantanal, Florianópolis - SC",48,2,1,1.0,,1400.0,0, Pantanal,Central
"Pantanal, Florianópolis - SC",25,1,1,1.0,"Mobiliado
Área de serviço
Varanda
Mais de um andar
Armário embutido",1250.0,100, SC,Central
"Rua Mediterrâneo, 53 - Córrego Grande, Florianópolis - SC",82,3,1,1.0,"Condomínio fechado
Garagem",2100.0,658, Córrego Grande,Central
"Itacorubi, Florianópolis - SC",73,2,2,1.0,"Mobiliado
Piscina
Área de serviço
Salão de festas
Playground",2450.0,956, SC,Central
"Rua Luiz Delfino, 146 - Centro, Florianópolis - SC",82,1,1,1.0,"Elevador
Área de serviço
Playground
Jardim
Interfone",5000.0,1242, Centro,Central
"Rua Almirante Lamego - Centro, Florianópolis - SC",120,3,2,1.0,"Salão de festas
Playground
Condomínio fechado",3000.0,976, Centro,Central
"Rua Duarte Schutel - Centro, Florianópolis - SC",79,3,3,1.0,"Elevador
Salão de festas
Playground
Armário na cozinha
Garagem",1890.0,681, Centro,Central
"Rua Ferreira Lima - Centro, Florianópolis - SC",110,3,3,2.0,"Elevador
Churrasqueira
Salão de festas
Armário na cozinha",2680.0,951, Centro,Central
"Avenida Jornalista Rubens de Arruda Ramos - Beira Mar, Florianópolis - SC",156,2,4,1.0,,3200.0,0, Beira Mar,Central
"Trindade, Florianópolis - SC",47,1,1,0.0,"Área de serviço
Salão de festas
Playground
Varanda
Jardim",1500.0,188, SC,Central
"Rua Douglas Seabra Levier - Trindade, Florianópolis - SC",84,3,2,1.0,Elevador,1950.0,435, Trindade,Central
"Servidão Deolindo Costa - Saco dos Limões, Florianópolis - SC",42,1,1,1.0,"Mobiliado
Área de serviço
Salão de festas
Interfone
Sala de jantar",1300.0,450, Saco dos Limões,Central
"Rua Doutor Carlos Corrêa - Agronômica, Florianópolis - SC",64,2,2,1.0,"Elevador
Churrasqueira
Salão de festas
Armário na cozinha",2000.0,582, Agronômica,Central
"Rua Deputado Antônio Edu Vieira, 516 - Pantanal, Florianópolis - SC",55,1,1,1.0,"Elevador
Piscina
Área de serviço
Churrasqueira
Salão de festas",1300.0,401, Pantanal,Central
"Centro, Florianópolis - SC",145,3,4,3.0,"Área de serviço
Playground
Closet
Sala de jantar
Garagem",6500.0,2500, SC,Central
"Trindade, Florianópolis - SC",77,2,3,2.0,"Elevador
Piscina
Área de serviço
Churrasqueira
Salão de festas",2990.0,550, SC,Central
"Rua Desembargador Arno Hoeschl, 159 - Centro, Florianópolis - SC",48,1,1,1.0,"Mobiliado
Área de serviço
Armário embutido",1700.0,680, Centro,Central
"Rua São Francisco - Centro, Florianópolis - SC",252,5,5,2.0,"Elevador
Salão de festas
Ar-condicionado
Armário na cozinha
Closet",4200.0,2497, Centro,Central
"Rua Douglas Seabra Levier - Trindade, Florianópolis - SC",75,2,2,1.0,,1680.0,531, Trindade,Central
"Rua Rui Barbosa, 650 - Agronômica, Florianópolis - SC",82,3,2,2.0,"Elevador
Área de serviço
Churrasqueira
Salão de festas
Playground",3100.0,721, Agronômica,Central
"Rua Desembargador Arno Hoeschl, 174 - Centro, Florianópolis - SC",84,3,1,1.0,Garagem,1900.0,835, Centro,Central
"Rua Jornalista Tito Carvalho - Trindade, Florianópolis - SC",67,2,2,1.0,,1500.0,420, Trindade,Central
"Centro, Florianópolis - SC",120,3,2,1.0,"Mobiliado
Área de serviço
Salão de festas
Escritório
Interfone",2300.0,800, SC,Central
"Rua dos Ilhéus, 142 - Centro, Florianópolis - SC",53,1,1,0.0,"Área de serviço
Interfone
Armário na cozinha",900.0,637, Centro,Central
"Praça Quinze de Novembro - Agronômica, Florianópolis - SC",70,2,1,1.0,"Área de serviço
Churrasqueira
Ar-condicionado
Armário embutido",2300.0,0, Agronômica,Central
"Rua Vera Linhares de Andrade - Itacorubi, Florianópolis - SC",61,2,1,2.0,Cozinha,2400.0,0, Itacorubi,Central
"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC",82,2,2,1.0,"Piscina
Churrasqueira
Varanda
Interfone
Segurança 24h",1800.0,700, Itacorubi,Central
"Joao Paulo, Florianópolis - SC",114,3,3,2.0,"Elevador
Piscina
Área de serviço
Churrasqueira
Varanda",3400.0,784, SC,Central
"Rua Lauro Linhares - Trindade, Florianópolis - SC",65,2,2,1.0,,1500.0,578, Trindade,Central
"Carvoeira, Florianópolis - SC",35,1,1,1.0,"Elevador
Salão de festas
Jardim
Interfone
Sala de jantar",1750.0,450, SC,Central
